CS14_ENG_001_00	per:holds_shares_in	LDC	bolt-eng-DF-170-181113-84603:83990-84106	Global Crossing	bolt-eng-DF-170-181113-84603:11752-11766	1.0
CS14_ENG_001_01	org:city_of_headquarters	LDC	NYT_ENG_20100510.0114:1524-1563	Florham Park	NYT_ENG_20100510.0114:1524-1535	1.0
CS14_ENG_002_00	gpe:births_in_city	LDC	XIN_ENG_20101006.0347:2970-3012	Richard F. Heck	XIN_ENG_20101006.0347:265-279	1.0
CS14_ENG_002_01	per:employee_or_member_of	LDC	XIN_ENG_20101006.0347:204-319	University of Delaware	XIN_ENG_20101006.0347:58-79	1.0
CS14_ENG_002_01	per:employee_or_member_of	LDC	XIN_ENG_20101006.0347:3200-3255	Hercules	XIN_ENG_20101006.0347:3224-3231	1.0
CS14_ENG_002_00	gpe:births_in_city	LDC	LTW_ENG_20090817.0007:4141-4193	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	1.0
CS14_ENG_002_01	per:employee_or_member_of	LDC	NYT_ENG_20090808.0110:2774-2916	Brearley School	NYT_ENG_20090808.0110:2803-2817	1.0
CS14_ENG_002_00	gpe:births_in_city	LDC	NYT_ENG_20100119.0121:5256-5288	Robert Brown Parker	NYT_ENG_20100119.0121:4834-4852	1.0
CS14_ENG_002_01	per:employee_or_member_of	LDC	NYT_ENG_20100119.0121:5508-5627	Boston University	NYT_ENG_20100119.0121:5555-5571	1.0
CS14_ENG_002_01	per:employee_or_member_of	LDC	NYT_ENG_20100119.0121:5508-5627	Northeastern University	NYT_ENG_20100119.0121:5605-5627	1.0
CS14_ENG_003_00	per:other_family	LDC	APW_ENG_20101123.0067:291-434,APW_ENG_20101123.0067:436-447	George Hickenlooper	APW_ENG_20101123.0067:234-252	1.0
CS14_ENG_003_01	per:date_of_death	LDC	APW_ENG_20101123.0067:458-507	2010-10-30	APW_ENG_20101123.0067:501-507	1.0
CS14_ENG_004_00	org:subsidiaries	LDC	XIN_ENG_20100107.0273:1787-1904	E Ink Corporation	XIN_ENG_20100107.0273:1840-1856	1.0
CS14_ENG_004_01	org:number_of_employees_members	LDC	AFP_ENG_20090601.0337:2024-2151	127	AFP_ENG_20090601.0337:2122-2124	1.0
CS14_ENG_005_00	org:employees_or_members	LDC	CNA_ENG_20101006.0023:174-227	Gen Nakatani	CNA_ENG_20101006.0023:216-227	1.0
CS14_ENG_005_01	per:countries_of_residence	LDC	CNA_ENG_20101006.0023:174-227	Japan	CNA_ENG_20101006.0023:174-181	1.0
CS14_ENG_005_00	org:employees_or_members	LDC	XIN_ENG_20100712.0093:1775-1904,XIN_ENG_20100712.0093:2922-2999,XIN_ENG_20100712.0093:3062-3173	Sadakazu Tanigaki	XIN_ENG_20100712.0093:1786-1802	1.0
CS14_ENG_005_01	per:countries_of_residence	LDC	XIN_ENG_20090928.0056:66-82,XIN_ENG_20090928.0056:302-354,XIN_ENG_20090928.0056:913-964	Japan	XIN_ENG_20090928.0056:913-917	1.0
CS14_ENG_005_00	org:employees_or_members	LDC	XIN_ENG_20100712.0093:3813-3828,XIN_ENG_20100712.0093:3897-3975,XIN_ENG_20100712.0093:2922-2999,XIN_ENG_20100712.0093:3062-3173	Yoshimi Watanabe	XIN_ENG_20100712.0093:3813-3828	1.0
CS14_ENG_005_01	per:countries_of_residence	LDC	XIN_ENG_20090805.0092:191-252	Japan	XIN_ENG_20090805.0092:58-62	1.0
CS14_ENG_006_00	org:top_members_employees	LDC	APW_ENG_20091001.0339:195-343,APW_ENG_20091001.0339:345-409	Gustavo Dudamel	APW_ENG_20091001.0339:195-209	1.0
